id,grade,realturn,viewname,realteam,currentgrade,person1,grade1,person2,grade2,person3,grade3
1,0,1,Scoping,회계,1,회계팀원,미완성,회계팀장,승인대기중,회계팀장,완성
2,0,2,basemapping,회계,1,회계팀원,미완성,회계팀장,승인대기중,회계팀장,완성
3,0,3,currentview,회계팀장,1,회계팀장,미완성,회계팀장,승인대기중,회계팀장,완성
4,0,4,explanation,전체,1,전체,미완성,전체,승인대기중,전체,완성
5,1,1,basestructure,전체,1,전체,미완성,전체,승인대기중,전체,완성
6,1,2,currentview,회계팀장,1,회계팀장,미완성,회계팀장,승인대기중,회계팀장,완성
7,1,3,explanation,전체,1,전체,미완성,전체,승인대기중,전체,완성
8,2,1,basequestion,전체,1,전체,미완성,전체,승인대기중,전체,완성
9,2,2,currentview,회계팀장,1,회계팀장,미완성,회계팀장,승인대기중,회계팀장,완성
10,2,3,explanation,전체,1,전체,미완성,전체,승인대기중,전체,완성
11,3,1,gojs_work,전체,1,전체,미완성,전체,승인대기중,전체,완성
12,3,2,gojs9,전체,1,전체,미완성,전체,승인대기중,전체,완성
13,3,3,currentview,회계팀장,1,회계팀장,미완성,회계팀장,승인대기중,회계팀장,완성
14,3,4,explanation,전체,1,전체,미완성,전체,승인대기중,전체,완성
