"id","grade","realturn","viewname","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","levelmanage_id","realgrade","currentgrade","grade1","grade2","grade3","person1","person2","person3","realteam"
1,"0","1",Scoping,,,,,,,,,,,,,,3,미완성,승인대기중,완성,회계팀원,회계팀장,회계팀장,회계
2,"0","2",basemapping,,,,,,,,,,,,,,1,미완성,승인대기중,완성,회계팀원,회계팀장,회계팀장,회계
3,"0","3",currentview,,,,,,,,,,,,,,1,미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장
4,"0","5",explanation,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
5,"0","4",basestructure,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
8,"1","1",basequestion,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
9,"1","2",currentview,,,,,,,,,,,,,,1,미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장
10,"1","3",explanation,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
11,"2","1",gojs_work,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
12,"2","2",gojs9,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
13,"2","3",currentview,,,,,,,,,,,,,,1,미완성,승인대기중,완성,회계팀장,회계팀장,회계팀장,회계팀장
14,"2","4",explanation,,,,,,,,,,,,,,1,미완성,승인대기중,완성,전체,전체,전체,전체
