"id","action_after","action_before","num1","num2","option1","option2","option3","option4","option5","realname","refname","result_value","risk1","risk2","risk3","risk4","risk5","showing","processdata_id"
1,기본,질문1,,,"","","","","",팀,"","","","","",,,select,1
2,기본,"",,,매월,분기별,반기별,연별,"",주기,"","",연별,"","",,,select,1
3,기본,질문3,,,메일,인트라넷,SAP,"","",전송매체,"","","","","",,,select,1
4,기본,질문2,,,전결권자,이사회,운영위원회,"","",승인권자,"","","","","",,,select,1
5,숫자비교,"",0,20,"","","","","",몇일,"","","","","",,,text,1
6,"","",,,인사팀장,"","","","",담당자,"","","","","",,,select,4
7,"","",,,인원운용계획,사업운용계획,인사계획에 관한 문서,"","",인원운용계획,"","","","","",,,selectplus,4
8,"","",,,각 부서원들,각 부서장들,각 임원들,"","",담당자2,"","","","","",,,select,4
9,"","",,,검증,대사,승인,"","",통제,"","","","","",,,selectplus,4
10,"","",,,인사계획서,"","","","",인사계획서,"","","","","",,,select,4
11,"","",,,인사팀,"","","","",팀,"","","","","",,,select,4
12,"","",,,정규채용,수시채용,"","","",채용종류,"","","","","",,,sentenceplus,4
337,"","",,,인사팀장,"","","","",담당자,"",,"","","",,,select,741
338,"","",,,인원운용계획,사업운용계획,인사계획에 관한 문서,"","",인원운용계획,"",,"","","",,,selectplus,741
339,"","",,,각 부서원들,각 부서장들,각 임원들,"","",담당자2,"",,"","","",,,select,741
340,"","",,,검증,대사,승인,"","",통제,"",,"","","",,,selectplus,741
341,"","",,,인사계획서,"","","","",인사계획서,"",,"","","",,,select,741
342,"","",,,인사팀,"","","","",팀,"",,"","","",,,select,741
343,"","",,,정규채용,수시채용,"","","",채용종류,"",,"","","",,,sentenceplus,741
344,기본,질문1,,,"","","","","",팀,"",,"","","",,,select,751
345,기본,"",,,매월,분기별,반기별,연별,"",주기,"",,연별,"","",,,select,751
346,기본,질문3,,,메일,인트라넷,SAP,"","",전송매체,"",,"","","",,,select,751
347,기본,질문2,,,전결권자,이사회,운영위원회,"","",승인권자,"",,"","","",,,select,751
348,숫자비교,"",0,20,"","","","","",몇일,"",,"","","",,,text,751
