id,answer,example,examplelink,mainprocess,question,subprocess,sub_id,template,templatelink,confirm_button,Column14,inputs,inputslink,realname,inputslist,prooptionname,prooptionchange,currentgrade,person_charge,realgrade,person_confirm
1,,photo,photolink,재고,"회사의 재고자산 생산은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나 음료를 제조하는 업체를 예를들자면, 제품이 4개라도, 포도, 오렌지의 제조공정이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",0,,,,,,textplus,,재고자산1,,,,미완성,,,
2,,,,재고,"해당 재고자산 생산 프로세스를 크게 몇가지 공정으로 나누어져 있나요? ""공정 추가하기""를 활용하여 회사에 맞게 세팅하여 주세요",1,1,html,,,,,,재고자산2,,,,미완성,,,
3,,,,재고,전공정에서 재고가 넘어올때 어떠한 절차를 통하여 현재공정으로 넘어오나요,3,,html,,,,textplus,,재고자산3,,,,미완성,,,
4,,,,재고,전공정의 output 수량과 현재공정의 input 수량을 어떤식으로 확인하나요,3,,html,,,,textplus,,재고자산4,,,,미완성,,,
5,,,,재고,다음공정으로 넘길때 어떠한 절차를 통하여 다음공정으로 넘어가나요,3,,html,,,,textplus,,재고자산5,,,,미완성,,,
6,,,,재고,현재공정의 output 수량과 다음공정의 input 수량을 어떤식으로 확인하나요,3,,html,,,,textplus,,재고자산6,,,,미완성,,,
7,,,,재고,다음공정으로 넘길때 승인절차가 있나요,3,,html,,,,textplus,,재고자산7,,,,미완성,,,
8,,,,재고,"혹시 재고자산 생산과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",2,2,,,,,textplus,decision,재고자산8,,,,미완성,,,
9,,,,재고,"혹시 재고자산 생산과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ",2,3,,,,,textplus,system,재고자산9,,,,미완성,,,
10,,photo,photolink,구매,"회사의 구매방식은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",0,,,,,,textplus,,구매1,,,,미완성,,,
11,,,,구매,해당 구매 프로세스는 어떤 팀에서 담당을 하고 있나요? ,2,5,,,,,textplus,team,구매2,,,,미완성,,,
12,,,,구매,"혹시 구매과정에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",2,6,,,,,textplus,decision,구매3,,,,미완성,,,
13,,,,구매,"혹시 구매과정에서, 사용하고 있는 시스템이 있나요? 회사 인트라넷, SAP, 메일 등을 의미하며, 여러 개를 사용하는 경우 여러 개를 추가해주시면 됩니다. ",2,7,,,,,textplus,system,구매4,,,,미완성,,,
14,,photo,photolink,인사,"회사의 인사방식은 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",0,,,,,,textplus,,인사1,,,,미완성,,,
15,,photo,photolink,고정자산,"회사의 고정자산 프로세스는 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",0,,,,,,textplus,,고정자산1,,,,미완성,,,
16,,photo,photolink,재무보고,"회사의 결산프로세스는 크게 몇가지 종류로 이루어져 있나요? 포도, 오렌지, 딸기, 바나나를 구매하는 업체로 예를들자면, 물품이 4개더라도, 포도, 오렌지의 구매방식이 유사하고, 딸기, 바나나가 유사하다면 두 개로 구분짓고, 아래의 그림처럼 입력을 하시면 됩니다.",0,,,,,,textplus,,재무보고1,,,,미완성,,,
17,,photo,photolink,인사,"혹시 인사프로세스에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",2,,,,,,textplus,,인사2,,,,미완성,,,
18,,photo,photolink,고정자산,"혹시 고정자산 프로세스에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",2,,,,,,textplus,,고정자산2,,,,미완성,,,
19,,photo,photolink,재무보고,"혹시 재무보고 프로세스에서 어떤 의사결정을 위해서든 의사결정을 위한 의사결정기구 같은게 있나요?(이사회, 운영위원회 등)",2,,,,,,textplus,,매출2,,,,미완성,,,
20,,,,인사,"회사에서 사용하는 인사시스템이 있다면, 그 시스템의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사3,,인사_시스템,인사시스템,미완성,,,
21,,,,인사,"회사에서 사용하는 인사계획문서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사4,,인사계획문서,인사계획서,미완성,,,
22,,,,인사,"회사에서 사용하는 채용요청서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사5,,채용요청서,채용요청서,미완성,,,
23,,,,인사,"회사에서 사용하는 채용품의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사6,,채용품의서,채용품의서,미완성,,,
24,,,,인사,"회사에서 사용하는 임직원평가내역서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사7,,임직원평가내역서,임직원평가내역서,미완성,,,
25,,,,인사,"회사에서 사용하는 승급추천서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사8,,승급추천서,승급추천서,미완성,,,
26,,,,인사,"회사에서 사용하는 인사변경품의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사9,,인사변경품의서,인사변경품의서,미완성,,,
27,,,,인사,"회사에서 사용하는 인사발령문서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사10,,인사발령문서,인사발령문서,미완성,,,
28,,,,인사,"회사에서 사용하는 급여계산프로그램명이 있다면, 그 시스템의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사11,,급여계산프로그램,급여계산프로그램,미완성,,,
29,,,,인사,"회사에서 사용하는 급여집계표명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사12,,급여집계표,급여집계표,미완성,,,
30,,,,인사,"회사에서 사용하는 연차수당계산파일명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사13,,연차수당계산파일,연차수당계산파일,미완성,,,
31,,,,인사,"회사에서 사용하는 외부아웃소싱업체명이 있다면, 그 거래처의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사14,,인사_아웃소싱업체,인사_아웃소싱업체,미완성,,,
32,,,,인사,"회사에서 사용하는 외부아웃소싱업체로부터 받은 급여계산파일명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사15,,아웃소싱업체로부터 받은 급여계산내역파일명,아웃소싱급여계산내역명,미완성,,,
33,,,,인사,"회사에서 사용하는 급여지출결의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사16,,급여지출결의서,급여지출결의서,미완성,,,
34,,,,인사,"회사에서 사용하는 성과급지출결의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사17,,성과급지출결의서,성과급지출결의서,미완성,,,
35,,,,인사,"회사에서 사용하는 사외적립자산불입기안서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사18,,사외적립자산불입기안서,사외적립자산불입기안서,미완성,,,
36,,,,인사,"회사에서 사용하는 인사발령품의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사19,,인사발령품의서,인사발령품의서,미완성,,,
37,,,,인사,"회사에서 사용하는 퇴직산정내역품의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사20,,퇴직금산정내역품의서,퇴직금산정내역품의서,미완성,,,
38,,,,인사,"회사에서 사용하는 회사의 복리후생정책이 있다면, 그 정책의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사21,,복리후생,복리후생,미완성,,,
39,,,,인사,"회사에서 사용하는 복리후생신청품의서명이 있다면, 그 서류의 이름을 기재 부탁 드립니다.",2,,,,,,textplus,,인사22,,복리후생신청품의서,복리후생신청품의서,미완성,,,
